OBJECTID,ID,risk,predict_risk
1,1001,0,0
2,1003,0,0
3,1005,0,0
4,1007,0,0
5,1009,0,0
6,1011,0,0
7,1013,0,0
8,1015,0,0
9,1017,0,0
10,1019,0,0
11,1021,0,0
12,1023,0,0
13,1025,0,0
14,1027,0,0
15,1029,0,0
16,1031,0,-1
17,1033,0,0
18,1035,0,0
19,1037,0,0
20,1039,0,0
21,1041,0,0
22,1043,0,0
23,1045,0,-1
24,1047,0,0
25,1049,0,0
26,1051,0,0
27,1053,0,0
28,1055,0,0
29,1057,0,0
30,1059,0,0
31,1061,0,0
32,1063,0,0
33,1065,0,0
34,1067,0,0
35,1069,0,0
36,1071,0,0
37,1073,0,0
38,1075,0,0
39,1077,0,0
40,1079,0,0
41,1081,0,0
42,1083,-1,-1
43,1085,0,0
44,1087,0,0
45,1089,-1,-1
46,1091,0,0
47,1093,0,0
48,1095,0,-1
49,1097,0,0
50,1099,0,0
51,1101,0,0
52,1103,0,-1
53,1105,0,0
54,1107,0,0
55,1109,0,0
56,1111,0,0
57,1113,0,0
58,1115,0,0
59,1117,0,0
60,1119,0,0
61,1121,0,0
62,1123,0,0
63,1125,0,0
64,1127,0,0
65,1129,0,0
66,1131,0,0
67,1133,0,0
68,4001,0,0
69,4003,0,0
70,4005,0,0
71,4007,1,1
72,4009,0,0
73,4011,0,0
74,4012,0,0
75,4013,0,-1
76,4015,0,0
77,4017,0,0
78,4019,0,0
79,4021,0,0
80,4023,0,0
81,4025,0,0
82,4027,-1,-1
83,5001,-1,-1
84,5003,0,0
85,5005,0,0
86,5007,0,0
87,5009,0,-1
88,5011,0,0
89,5013,0,0
90,5015,0,-1
91,5017,-1,-1
92,5019,0,0
93,5021,-1,-1
94,5023,0,0
95,5025,0,0
96,5027,0,0
97,5029,0,0
98,5031,-1,-1
99,5033,0,0
100,5035,-1,-1
101,5037,-1,-1
102,5039,0,0
103,5041,-1,-1
104,5043,0,0
105,5045,0,-1
106,5047,0,0
107,5049,0,0
108,5051,0,0
109,5053,0,0
110,5055,-1,-1
111,5057,0,0
112,5059,0,0
113,5061,0,0
114,5063,-1,-1
115,5065,0,0
116,5067,-1,-1
117,5069,-1,-1
118,5071,0,0
119,5073,0,0
120,5075,-1,-1
121,5077,-1,-1
122,5079,-1,-1
123,5081,0,0
124,5083,0,0
125,5085,-1,-1
126,5087,0,-1
127,5089,0,0
128,5091,0,0
129,5093,-1,-1
130,5095,-1,-1
131,5097,0,0
132,5099,0,0
133,5101,0,-1
134,5103,0,0
135,5105,0,0
136,5107,-1,-1
137,5109,0,0
138,5111,-1,-1
139,5113,0,0
140,5115,0,0
141,5117,-1,-1
142,5119,-1,-1
143,5121,-1,-1
144,5123,-1,-1
145,5125,0,0
146,5127,0,0
147,5129,0,0
148,5131,0,0
149,5133,0,0
150,5135,0,0
151,5137,0,0
152,5139,0,0
153,5141,0,0
154,5143,0,0
155,5145,-1,-1
156,5147,-1,-1
157,5149,0,0
158,6001,0,0
159,6003,0,0
160,6005,1,1
161,6007,1,1
162,6009,1,1
163,6011,0,0
164,6013,0,0
165,6015,1,1
166,6017,1,1
167,6019,0,0
168,6021,0,0
169,6023,1,1
170,6025,-1,-1
171,6027,0,0
172,6029,0,0
173,6031,-1,-1
174,6033,1,1
175,6035,1,1
176,6037,0,-1
177,6039,0,0
178,6041,0,0
179,6043,1,1
180,6045,1,1
181,6047,0,0
182,6049,1,0
183,6051,0,0
184,6053,0,0
185,6055,0,0
186,6057,1,1
187,6059,0,-1
188,6061,1,1
189,6063,1,1
190,6065,0,0
191,6067,0,-1
192,6069,1,0
193,6071,0,-1
194,6073,0,0
195,6075,-1,-1
196,6077,-1,-1
197,6079,0,0
198,6081,0,0
199,6083,0,0
200,6085,0,0
201,6087,1,1
202,6089,1,1
203,6091,1,1
204,6093,1,1
205,6095,0,0
206,6097,1,0
207,6099,0,0
208,6101,-1,-1
209,6103,1,1
210,6105,1,1
211,6107,0,0
212,6109,0,0
213,6111,1,1
214,6113,0,0
215,6115,0,0
216,8001,-1,-1
217,8003,-1,0
218,8005,-1,-1
219,8007,1,1
220,8009,0,0
221,8011,0,0
222,8013,0,0
223,8014,-1,-1
224,8015,0,0
225,8017,-1,-1
226,8019,0,0
227,8021,0,0
228,8023,0,0
229,8025,-1,-1
230,8027,0,0
231,8029,0,0
232,8031,-1,-1
233,8033,0,0
234,8035,0,0
235,8037,0,0
236,8039,0,0
237,8041,0,0
238,8043,0,0
239,8045,0,0
240,8047,0,0
241,8049,0,0
242,8051,0,0
243,8053,0,0
244,8055,0,0
245,8057,0,0
246,8059,1,0
247,8061,-1,-1
248,8063,-1,-1
249,8065,-1,-1
250,8067,0,0
251,8069,0,0
252,8071,0,0
253,8073,-1,0
254,8075,-1,-1
255,8077,0,0
256,8079,0,0
257,8081,0,0
258,8083,0,0
259,8085,0,0
260,8087,-1,-1
261,8089,0,0
262,8091,0,0
263,8093,0,0
264,8095,-1,-1
265,8097,0,0
266,8099,-1,0
267,8101,0,0
268,8103,1,1
269,8105,0,0
270,8107,0,0
271,8109,0,0
272,8111,0,0
273,8113,0,0
274,8115,-1,-1
275,8117,0,0
276,8119,1,1
277,8121,-1,-1
278,8123,-1,-1
279,8125,-1,-1
280,9001,0,-1
281,9003,0,-1
282,9005,0,0
283,9007,0,0
284,9009,0,-1
285,9011,0,0
286,9013,0,0
287,9015,0,0
288,10001,-1,0
289,10003,-1,0
290,10005,-1,0
291,11001,-1,-1
292,12001,1,0
293,12003,1,1
294,12005,0,0
295,12007,1,0
296,12009,0,0
297,12011,1,0
298,12013,0,0
299,12015,1,1
300,12017,0,0
301,12019,0,0
302,12021,0,0
303,12023,0,0
304,12027,0,0
305,12029,1,0
306,12031,0,0
307,12033,0,0
308,12035,1,1
309,12037,1,1
310,12039,0,0
311,12041,0,0
312,12043,1,1
313,12045,0,0
314,12047,0,0
315,12049,0,0
316,12051,0,0
317,12053,0,0
318,12055,0,0
319,12057,0,0
320,12059,0,0
321,12061,0,0
322,12063,0,0
323,12065,0,0
324,12067,0,0
325,12069,0,0
326,12071,0,0
327,12073,0,0
328,12075,1,1
329,12077,1,1
330,12079,0,0
331,12081,0,0
332,12083,1,0
333,12085,0,0
334,12086,1,0
335,12087,0,0
336,12089,0,0
337,12091,0,0
338,12093,1,0
339,12095,0,0
340,12097,0,0
341,12099,0,0
342,12101,0,0
343,12103,-1,-1
344,12105,0,0
345,12107,0,0
346,12109,0,0
347,12111,0,0
348,12113,0,0
349,12115,0,0
350,12117,0,0
351,12119,0,0
352,12121,0,0
353,12123,0,0
354,12125,1,1
355,12127,0,0
356,12129,1,1
357,12131,0,0
358,12133,0,0
359,13001,0,0
360,13003,0,0
361,13005,0,0
362,13007,0,0
363,13009,0,0
364,13011,0,0
365,13013,0,0
366,13015,0,0
367,13017,0,0
368,13019,0,0
